time;perfect;measurement;prediction
8.600000;6.536000;17.856516;11.350184
8.700000;6.699000;55.241684;12.578333
8.800000;6.864000;-12.451451;16.195655
8.900000;7.031000;8.438639;15.273588
9.000000;7.200000;36.547149;15.734136
9.100000;7.371000;43.033579;17.997754
9.200000;7.544000;-7.298887;20.596426
9.300000;7.719000;-4.121473;19.830477
9.400000;7.896000;14.796463;19.285094
9.500000;8.075000;11.628746;19.973442
9.600000;8.256000;30.922821;20.423152
9.700000;8.439000;14.262541;22.096153
9.800000;8.624000;17.926160;22.623735
9.900000;8.811000;-16.213174;23.358551
10.000000;9.000000;13.694199;21.848747
10.100000;9.191000;-40.313241;22.310930
10.200000;9.384000;-5.496196;19.256020
10.300000;9.579000;-16.061207;18.542989
10.400000;9.776000;23.629979;17.163682
10.500000;9.975000;35.584074;18.388247
10.600000;10.176000;3.512109;20.338934
10.700000;10.379000;27.069163;20.146599
10.800000;10.584000;15.676577;21.474310
10.900000;10.791000;54.788514;22.014436
11.000000;11.000000;11.689193;25.053895
11.100000;11.211000;18.448219;25.199859
11.200000;11.424000;-11.522308;25.765912
11.300000;11.639000;-22.347555;24.366414
11.400000;11.856000;41.651027;22.302977
11.500000;12.075000;18.820239;24.431117
11.600000;12.296000;-30.476298;25.006639
11.700000;12.519000;18.803158;22.370417
11.800000;12.744000;51.583919;22.994494
11.900000;12.971000;14.827082;25.707826
12.000000;13.200000;-3.256294;25.950195
12.100000;13.431000;33.027562;25.007229
12.200000;13.664000;57.734844;26.429120
12.300000;13.899000;-13.688869;29.390827
12.400000;14.136000;19.269230;27.632470
12.500000;14.375000;57.226581;28.048840
12.600000;14.616000;30.729693;30.892445
12.700000;14.859000;63.412182;31.920391
12.800000;15.104000;23.741846;35.012009
12.900000;15.351000;43.621745;35.426013
13.000000;15.600000;64.629260;37.094193
13.100000;15.851000;52.964871;40.047670
13.200000;16.104000;44.908161;42.132868
13.300000;16.359000;-13.020171;43.609291
13.400000;16.616000;64.673765;41.275671
13.500000;16.875000;41.073660;44.014888
13.600000;17.136000;3.584421;45.120705
13.700000;17.399000;62.506064;43.748699
13.800000;17.664000;41.062356;46.205660
13.900000;17.931000;46.391591;47.177380
14.000000;18.200000;47.438620;48.440050
14.100000;18.471000;19.193810;49.707213
14.200000;18.744000;21.944113;49.087095
14.300000;19.019000;52.803812;48.643006
14.400000;19.296000;-13.532144;50.185018
14.500000;19.575000;24.480433;47.373560
14.600000;19.856000;41.034504;47.088920
14.700000;20.139000;-19.788366;47.865082
14.800000;20.424000;12.703873;44.672744
14.900000;20.711000;18.524225;43.667390
15.000000;21.000000;65.529334;43.058148
15.100000;21.291000;39.248603;45.491580
15.200000;21.584000;25.256194;46.136942
15.300000;21.879000;45.627543;45.844916
15.400000;22.176000;3.571893;46.864476
15.500000;22.475000;29.248669;45.123401
15.600000;22.776000;68.036582;45.084614
15.700000;23.079000;69.119492;47.539717
15.800000;23.384000;67.932035;49.972545
15.900000;23.691000;7.658590;52.235243
16.000000;24.000000;49.742015;50.518211
16.100000;24.311000;73.862915;51.558032
16.200000;24.624000;8.305816;54.105852
16.300000;24.939000;29.530375;52.323478
16.400000;25.256000;-2.180270;51.953483
16.500000;25.575000;1.024733;49.534987
16.600000;25.896000;-7.375578;47.390221
16.700000;26.219000;7.651669;44.763936
16.800000;26.544000;-4.900589;43.186420
16.900000;26.871000;-4.061083;40.845842
17.000000;27.200000;28.472043;38.633496
17.100000;27.531000;-11.212417;38.592722
17.200000;27.864000;-20.733730;35.993250
17.300000;28.199000;9.853716;32.866666
17.400000;28.536000;18.274032;31.821208
17.500000;28.875000;40.340663;31.360151
17.600000;29.216000;54.659184;32.345446
17.700000;29.559000;-13.610145;34.229222
17.800000;29.904000;70.741543;31.651178
17.900000;30.251000;52.851222;34.606004
18.000000;30.600000;52.043698;36.314594
18.100000;30.951000;-0.678460;37.917626
18.200000;31.304000;63.316236;36.066952
18.300000;31.659000;-0.820234;38.407209
18.400000;32.016000;13.477908;36.532921
18.500000;32.375000;72.949369;35.643057
18.600000;32.736000;-13.451079;38.621575
18.700000;33.099000;69.647134;35.928071
18.800000;33.464000;62.390545;38.685323
18.900000;33.831000;-0.345125;40.884438
19.000000;34.200000;69.223137;38.961404
19.100000;34.571000;61.948390;41.588228
19.200000;34.944000;51.286344;43.657188
19.300000;35.319000;-13.636827;44.965742
19.400000;35.696000;62.859376;42.036054
19.500000;36.075000;60.477732;44.133144
19.600000;36.456000;-10.242371;46.003246
19.700000;36.839000;14.485902;43.242410
19.800000;37.224000;34.821591;42.161862
19.900000;37.611000;63.059721;42.425197
20.000000;38.000000;4.262862;44.498805
20.100000;38.391000;9.652544;42.706356
20.200000;38.784000;40.738784;41.316174
20.300000;39.179000;65.639237;41.974864
20.400000;39.576000;67.831815;44.216593
20.500000;39.975000;3.793250;46.522886
20.600000;40.376000;0.625111;44.615902
20.700000;40.779000;31.199560;42.561349
20.800000;41.184000;22.003697;42.543450
20.900000;41.591000;32.770204;41.930423
21.000000;42.000000;4.508098;42.030230
21.100000;42.411000;0.164680;40.301503
21.200000;42.824000;57.603493;38.348374
21.300000;43.239000;55.280704;40.166555
21.400000;43.656000;20.549790;41.776380
21.500000;44.075000;39.334951;41.091802
21.600000;44.496000;9.704588;41.640694
21.700000;44.919000;74.469207;40.258722
21.800000;45.344000;72.976220;43.100446
21.900000;45.771000;30.439235;45.751481
22.000000;46.200000;44.615769;45.567018
22.100000;46.631000;67.829718;46.298313
22.200000;47.064000;66.161377;48.498385
22.300000;47.499000;18.569702;50.512280
22.400000;47.936000;26.540673;49.380998
22.500000;48.375000;23.979714;48.792606
22.600000;48.816000;46.717609;48.050862
22.700000;49.259000;22.656920;48.794092
22.800000;49.704000;73.929388;47.954157
22.900000;50.151000;2.673317;50.444058
23.000000;50.600000;63.844871;48.247887
23.100000;51.051000;79.864017;50.064165
23.200000;51.504000;80.194637;52.848347
23.300000;51.959000;22.844194;55.554323
23.400000;52.416000;15.280846;54.460314
23.500000;52.875000;22.342410;52.902889
23.600000;53.336000;85.381605;51.842573
23.700000;53.799000;19.274631;54.876639
23.800000;54.264000;25.713951;53.537026
23.900000;54.731000;81.962407;52.647534
24.000000;55.200000;27.035710;55.408751
24.100000;55.671000;85.490750;54.526782
24.200000;56.144000;27.090570;57.436306
24.300000;56.619000;9.556026;56.472275
24.400000;57.096000;37.956816;54.397818
24.500000;57.575000;74.292336;54.215140
24.600000;58.056000;48.731861;56.375639
24.700000;58.539000;19.609022;56.807938
24.800000;59.024000;52.562850;55.337771
24.900000;59.511000;47.537060;56.033778
25.000000;60.000000;79.782121;56.374989
25.100000;60.491000;100.112588;58.777658
25.200000;60.984000;24.730206;62.404337
25.300000;61.479000;79.304183;61.036329
25.400000;61.976000;99.116348;63.221987
25.500000;62.475000;64.139489;66.601846
25.600000;62.976000;86.575841;67.599139
25.700000;63.479000;104.429408;69.994823
25.800000;63.984000;46.923001;73.446207
25.900000;64.491000;44.128162;73.053746
26.000000;65.000000;22.005520;72.472769
26.100000;65.511000;80.912090;70.463467
26.200000;66.024000;32.744644;72.302965
26.300000;66.539000;72.370995;70.956838
26.400000;67.056000;74.049812;72.194667
26.500000;67.575000;82.051029;73.483803
26.600000;68.096000;43.519329;75.229779
26.700000;68.619000;63.277293;74.414117
26.800000;69.144000;61.929078;74.882004
26.900000;69.671000;53.603615;75.230243
27.000000;70.200000;101.946006;75.012681
27.100000;70.731000;45.006469;77.904829
27.200000;71.264000;72.338706;77.010664
27.300000;71.799000;87.721079;77.891446
27.400000;72.336000;110.768424;79.718521
27.500000;72.875000;99.707575;82.954662
27.600000;73.416000;83.763941;85.350923
27.700000;73.959000;58.516798;86.617594
27.800000;74.504000;75.775495;86.190259
27.900000;75.051000;39.196202;86.867432
28.000000;75.600000;47.946499;85.139621
28.100000;76.151000;58.491582;84.011750
28.200000;76.704000;101.750169;83.582052
28.300000;77.259000;73.256854;85.939864
28.400000;77.816000;106.498720;86.363654
28.500000;78.375000;76.900333;88.899447
28.600000;78.936000;79.924097;89.422398
28.700000;79.499000;65.289360;90.102509
28.800000;80.064000;114.842439;89.795269
28.900000;80.631000;80.593330;92.675216
29.000000;81.200000;89.471850;93.229933
29.100000;81.771000;87.885057;94.317373
29.200000;82.344000;46.397978;95.244678
29.300000;82.919000;124.943228;93.442217
29.400000;83.496000;59.078938;96.745664
29.500000;84.075000;89.399105;95.669602
29.600000;84.656000;105.745754;96.563403
29.700000;85.239000;115.006161;98.461652
29.800000;85.824000;98.363748;100.873466
29.900000;86.411000;113.946495;102.109178
30.000000;87.000000;135.861489;104.285571
30.100000;87.591000;108.287373;107.779476
30.200000;88.184000;105.318224;109.352410
30.300000;88.779000;81.048364;110.653290
30.400000;89.376000;105.351424;110.316079
30.500000;89.975000;102.314266;111.529064
30.600000;90.576000;94.022791;112.477795
30.700000;91.179000;121.682057;112.831713
30.800000;91.784000;74.315503;114.930282
30.900000;92.391000;88.666017;113.874966
31.000000;93.000000;62.613363;113.751784
31.100000;93.611000;110.417603;111.924651
31.200000;94.224000;120.185944;113.216829
31.300000;94.839000;94.010418;115.072893
31.400000;95.456000;72.594828;115.154274
31.500000;96.075000;141.740171;113.826077
31.600000;96.696000;107.624736;116.979337
31.700000;97.319000;146.708934;117.804141
31.800000;97.944000;86.377653;121.098765
31.900000;98.571000;117.931346;120.366230
32.000000;99.200000;63.070792;121.666927
32.100000;99.831000;129.710464;119.358905
32.200000;100.464000;139.888898;121.401537
32.300000;101.099000;125.520488;124.010014
32.400000;101.736000;123.527953;125.580348
32.500000;102.375000;119.554292;126.943835
32.600000;103.016000;150.599355;127.978802
32.700000;103.659000;105.809504;130.955266
32.800000;104.304000;108.487420;130.915236
32.900000;104.951000;125.690642;131.019858
33.000000;105.600000;151.247503;132.202527
33.100000;106.251000;89.655699;134.967193
33.200000;106.904000;135.015202;133.637671
33.300000;107.559000;139.752235;135.249359
33.400000;108.216000;96.009128;137.085490
33.500000;108.875000;91.740360;136.009701
33.600000;109.536000;86.936875;134.665026
33.700000;110.199000;155.598014;133.027873
33.800000;110.864000;102.313129;135.850445
33.900000;111.531000;71.863075;135.118209
34.000000;112.200000;140.015486;132.420778
34.100000;112.871000;130.775747;134.187340
34.200000;113.544000;98.029767;135.279040
34.300000;114.219000;75.938950;134.200481
34.400000;114.896000;154.657979;131.710966
34.500000;115.575000;138.396493;134.363913
34.600000;116.256000;80.257368;135.862693
34.700000;116.939000;133.088748;133.541470
34.800000;117.624000;82.295636;134.686805
34.900000;118.311000;155.841708;132.499896
35.000000;119.000000;140.877433;135.113979
35.100000;119.691000;130.298352;136.660902
35.200000;120.384000;123.943651;137.457020
35.300000;121.079000;119.031434;137.798897
35.400000;121.776000;123.874717;137.794495
35.500000;122.475000;165.639284;138.085032
35.600000;123.176000;101.921378;141.043605
35.700000;123.879000;113.157450;139.775456
35.800000;124.584000;173.152575;139.255227
35.900000;125.291000;81.721879;142.606060
36.000000;126.000000;172.869977;139.929488
36.100000;126.711000;107.144844;143.204143
36.200000;127.424000;131.182920;142.113030
36.300000;128.139000;90.014992;142.590642
36.400000;128.856000;153.391862;140.379025
36.500000;129.575000;168.477345;142.313454
36.600000;130.296000;167.310510;145.142705
36.700000;131.019000;151.044083;147.786885
36.800000;131.744000;99.751553;149.275574
36.900000;132.471000;114.319984;147.385122
37.000000;133.200000;94.870699;146.476783
37.100000;133.931000;177.151150;144.325389
37.200000;134.664000;127.015268;147.537867
37.300000;135.399000;89.715029;147.394254
37.400000;136.136000;171.032385;144.831710
37.500000;136.875000;183.893061;147.585172
37.600000;137.616000;134.315074;151.063654
37.700000;138.359000;137.063944;151.211903
37.800000;139.104000;121.836319;151.514173
37.900000;139.851000;176.592759;150.805838
38.000000;140.600000;97.324282;153.636504
38.100000;141.351000;191.075365;151.241735
38.200000;142.104000;190.712598;154.957191
38.300000;142.859000;183.252242;158.509851
38.400000;143.616000;179.863439;161.444019
38.500000;144.375000;139.742028;164.040108
38.600000;145.136000;112.721803;163.937003
38.700000;145.899000;117.549635;162.068056
38.800000;146.664000;131.325546;160.547910
38.900000;147.431000;129.227498;159.944941
39.000000;148.200000;163.528675;159.206555
39.100000;148.971000;125.154264;160.687136
39.200000;149.744000;119.242767;159.624791
39.300000;150.519000;126.405656;158.197878
39.400000;151.296000;130.260472;157.263766
39.500000;152.075000;201.760899;156.594528
39.600000;152.856000;176.008500;160.547571
39.700000;153.639000;130.463375;162.694978
39.800000;154.424000;190.169928;161.816209
39.900000;155.211000;188.981334;164.801694
40.000000;156.000000;109.029160;167.595041
40.100000;156.791000;161.847768;165.118003
40.200000;157.584000;146.676775;166.110783
40.300000;158.379000;196.915754;166.073997
40.400000;159.176000;176.225383;169.262056
40.500000;159.975000;111.555212;170.991571
40.600000;160.776000;197.321841;168.470690
40.700000;161.579000;136.908728;171.546671
40.800000;162.384000;158.085269;170.604213
40.900000;163.191000;157.454056;171.039114
41.000000;164.000000;114.700923;171.399971
41.100000;164.811000;194.374966;168.971492
41.200000;165.624000;143.258860;171.746311
41.300000;166.439000;214.398038;171.115058
41.400000;167.256000;204.237706;175.077332
41.500000;168.075000;134.581991;178.235653
41.600000;168.896000;162.260080;176.774466
41.700000;169.719000;138.966853;177.125436
41.800000;170.544000;172.608367;175.941485
41.900000;171.371000;211.275373;176.947676
42.000000;172.200000;206.401022;180.397210
42.100000;173.031000;185.818315;183.398889
42.200000;173.864000;194.468454;184.951239
42.300000;174.699000;152.055687;186.986454
42.400000;175.536000;125.540490;186.192859
42.500000;176.375000;166.503832;183.689116
42.600000;177.216000;208.498911;183.887742
42.700000;178.059000;166.777697;186.768620
42.800000;178.904000;175.081648;186.841191
42.900000;179.751000;209.366892;187.424567
43.000000;180.600000;212.695968;190.178837
43.100000;181.451000;185.914197;193.034457
43.200000;182.304000;149.389325;194.043145
43.300000;183.159000;192.613895;192.635615
43.400000;184.016000;231.410433;194.037899
43.500000;184.875000;210.323124;197.873005
43.600000;185.736000;198.877432;200.195378
43.700000;186.599000;151.403050;201.674479
43.800000;187.464000;224.020202;200.012197
43.900000;188.331000;152.653370;203.061392
44.000000;189.200000;159.276597;201.377318
44.100000;190.071000;215.827461;200.147592
44.200000;190.944000;167.364418;202.581236
44.300000;191.819000;147.805621;201.782399
44.400000;192.696000;151.091080;199.722035
44.500000;193.575000;226.116850;197.917731
44.600000;194.456000;187.669432;200.992794
44.700000;195.339000;179.208237;201.465499
44.800000;196.224000;238.081083;201.354869
44.900000;197.111000;149.293064;205.025253
45.000000;198.000000;241.004044;202.823838
45.100000;198.891000;236.513511;206.589703
45.200000;199.784000;217.441324;209.919839
45.300000;200.679000;208.665390;211.884826
45.400000;201.576000;194.103800;213.191927
45.500000;202.475000;159.760997;213.488606
45.600000;203.376000;196.409893;211.531666
45.700000;204.279000;159.352512;211.977392
45.800000;205.184000;215.996965;209.992725
45.900000;206.091000;254.324289;211.704952
46.000000;207.000000;215.050490;215.811880
46.100000;207.911000;166.427814;217.225636
46.200000;208.824000;250.657976;215.429253
46.300000;209.739000;166.574593;219.101269
46.400000;210.656000;182.487720;217.201926
46.500000;211.575000;174.483015;216.365978
46.600000;212.496000;242.375692;215.017441
46.700000;213.419000;255.006330;218.072212
46.800000;214.344000;237.308390;221.820052
46.900000;215.271000;181.376767;224.278605
47.000000;216.200000;255.570551;223.020772
47.100000;217.131000;243.568832;226.564917
47.200000;218.064000;206.320238;229.191623
47.300000;218.999000;250.278714;229.299674
47.400000;219.936000;241.134498;232.211039
47.500000;220.875000;235.895022;234.406836
47.600000;221.816000;218.208344;236.160872
47.700000;222.759000;235.667533;236.683497
47.800000;223.704000;190.079253;238.282741
47.900000;224.651000;175.573742;236.855158
48.000000;225.600000;274.468066;234.506487
48.100000;226.551000;193.150036;238.586910
48.200000;227.504000;236.125067;237.257603
48.300000;228.459000;258.181552;238.715382
48.400000;229.416000;235.313196;241.520008
48.500000;230.375000;267.868690;242.727351
48.600000;231.336000;244.041478;245.964914
48.700000;232.299000;196.859036;247.526836
48.800000;233.264000;188.737564;245.959646
48.900000;234.231000;201.054036;243.887335
49.000000;235.200000;222.245334;242.648034
49.100000;236.171000;233.843353;242.789666
49.200000;237.144000;278.834944;243.649367
49.300000;238.119000;238.438404;247.358633
49.400000;239.096000;240.854167;248.312946
49.500000;240.075000;268.350102;249.363565
49.600000;241.056000;260.680130;252.125524
49.700000;242.039000;266.959527;254.272661
49.800000;243.024000;282.239947;256.723688
49.900000;244.011000;230.547813;260.048124
50.000000;245.000000;278.248097;259.894084
50.100000;245.991000;239.777784;262.788339
50.200000;246.984000;204.425936;263.070567
50.300000;247.979000;283.713141;261.027089
50.400000;248.976000;265.194497;264.133180
50.500000;249.975000;273.093064;265.909695
50.600000;250.976000;271.643622;268.103378
50.700000;251.979000;222.482768;270.096477
50.800000;252.984000;229.696939;268.816007
50.900000;253.991000;230.871334;268.007609
51.000000;255.000000;232.114811;267.268241
51.100000;256.011000;248.700103;266.601905
51.200000;257.024000;296.267169;266.997822
51.300000;258.039000;281.547777;270.421348
51.400000;259.056000;267.264712;272.753242
51.500000;260.075000;219.035670;274.055500
51.600000;261.096000;245.023825;272.170677
51.700000;262.119000;226.182753;271.993374
51.800000;263.144000;243.584009;270.577031
51.900000;264.171000;274.565408;270.302487
52.000000;265.200000;305.776508;272.010285
52.100000;266.231000;231.449748;275.650383
52.200000;267.264000;297.491112;274.347779
52.300000;268.299000;297.284743;277.321387
52.400000;269.336000;285.994066;280.156491
52.500000;270.375000;292.719424;282.140397
52.600000;271.416000;320.046473;284.462022
52.700000;272.459000;299.772732;288.438462
52.800000;273.504000;280.374338;290.941938
52.900000;274.551000;311.310964;292.075058
53.000000;275.600000;321.076368;295.129934
53.100000;276.651000;299.229581;298.676610
53.200000;277.704000;262.954327;300.657109
53.300000;278.759000;240.323748;300.190270
53.400000;279.816000;235.846697;298.237261
53.500000;280.875000;276.061198;296.020627
53.600000;281.936000;297.490973;296.436012
53.700000;282.999000;320.697624;298.187090
53.800000;284.064000;290.499253;301.344718
53.900000;285.131000;313.876349;302.415456
54.000000;286.200000;277.099060;304.923635
54.100000;287.271000;263.389845;304.940037
54.200000;288.344000;317.140290;304.034665
54.300000;289.419000;300.152620;306.592149
54.400000;290.496000;247.366706;307.934917
54.500000;291.575000;289.027997;305.792040
54.600000;292.656000;271.985678;306.373452
54.700000;293.739000;309.005139;305.803877
54.800000;294.824000;293.462072;307.610369
54.900000;295.911000;331.839944;308.323838
55.000000;297.000000;266.604777;311.459065
55.100000;298.091000;322.688600;310.250125
55.200000;299.184000;334.337520;312.667525
55.300000;300.279000;274.659666;315.725679
55.400000;301.376000;274.239210;314.799501
55.500000;302.475000;307.767570;313.843118
55.600000;303.576000;287.499895;315.050048
55.700000;304.679000;317.922268;314.879073
55.800000;305.784000;278.761471;316.646561
55.900000;306.891000;312.462243;315.799288
56.000000;308.000000;307.838963;317.124809
56.100000;309.111000;324.900647;318.079752
56.200000;310.224000;262.733995;320.075252
56.300000;311.339000;358.227010;317.964445
56.400000;312.456000;273.706915;322.055862
56.500000;313.575000;352.964180;320.530834
56.600000;314.696000;325.890477;324.140758
56.700000;315.819000;319.489160;325.856244
56.800000;316.944000;283.631745;327.071523
56.900000;318.071000;280.808399;325.901840
57.000000;319.200000;304.236017;324.557830
57.100000;320.331000;281.627652;324.741248
57.200000;321.464000;329.839904;323.433034
57.300000;322.599000;336.739502;325.253162
57.400000;323.736000;341.170226;327.433967
57.500000;324.875000;370.826204;329.803118
57.600000;326.016000;340.091737;333.980661
57.700000;327.159000;356.332341;336.008255
57.800000;328.304000;300.040606;338.985272
57.900000;329.451000;301.780997;338.198967
58.000000;330.600000;309.553439;337.517139
58.100000;331.751000;346.876522;337.327362
58.200000;332.904000;377.859470;339.521697
58.300000;334.059000;347.921097;343.612880
58.400000;335.216000;381.639349;345.605639
58.500000;336.375000;342.582244;349.674177
58.600000;337.536000;363.955405;351.052716
58.700000;338.699000;352.768394;353.727105
58.800000;339.864000;329.181925;355.553112
58.900000;341.031000;364.328028;355.757445
59.000000;342.200000;347.990778;358.183201
59.100000;343.371000;365.782056;359.435563
59.200000;344.544000;341.567335;361.754538
59.300000;345.719000;317.595458;362.394228
59.400000;346.896000;308.673446;361.425134
59.500000;348.075000;317.796888;359.872511
59.600000;349.256000;323.886271;358.922352
59.700000;350.439000;347.098928;358.361547
59.800000;351.624000;302.713075;359.284051
59.900000;352.811000;359.115805;357.280314
60.000000;354.000000;348.823543;358.951142
60.100000;355.191000;336.255520;359.873755
60.200000;356.384000;314.258657;359.925454
60.300000;357.579000;333.420556;358.526827
60.400000;358.776000;389.653429;358.382751
60.500000;359.975000;334.092108;361.845756
60.600000;361.176000;404.173370;361.583293
60.700000;362.379000;313.045983;365.823778
60.800000;363.584000;380.670839;364.016557
60.900000;364.791000;383.935625;366.602983
61.000000;366.000000;407.431888;369.286775
61.100000;367.211000;347.508532;373.368455
61.200000;368.424000;395.253883;373.417153
61.300000;369.639000;354.665115;376.511315
61.400000;370.856000;373.468927;376.850883
61.500000;372.075000;349.348518;378.357790
61.600000;373.296000;332.559293;378.224271
61.700000;374.519000;358.778384;376.977525
61.800000;375.744000;340.853539;377.430899
61.900000;376.971000;362.809859;376.681707
62.000000;378.200000;412.731465;377.343806
62.100000;379.431000;404.794648;381.176396
62.200000;380.664000;398.115552;384.340947
62.300000;381.899000;388.069912;386.937978
62.400000;383.136000;410.483108;388.767026
62.500000;384.375000;376.395236;391.946551
62.600000;385.616000;416.700003;392.785200
62.700000;386.859000;413.819938;396.159032
62.800000;388.104000;390.762271;399.197572
62.900000;389.351000;413.301600;400.607878
63.000000;390.600000;351.269510;403.384519
63.100000;391.851000;412.176765;402.024980
63.200000;393.104000;354.180880;404.598083
63.300000;394.359000;351.047497;403.303448
63.400000;395.616000;441.260190;401.808467
63.500000;396.875000;376.146664;406.145519
63.600000;398.136000;380.403888;406.100850
63.700000;399.399000;359.915956;406.293248
63.800000;400.664000;359.622552;405.119412
63.900000;401.931000;416.182471;403.928834
64.000000;403.200000;430.107426;406.392836
64.100000;404.471000;403.809474;409.641073
64.200000;405.744000;405.247297;411.050678
64.300000;407.019000;406.553350;412.470340
64.400000;408.296000;413.471066;413.890965
64.500000;409.575000;453.861514;415.674354
64.600000;410.856000;423.350553;419.968019
64.700000;412.139000;414.516108;422.112944
64.800000;413.424000;369.253022;423.576247
64.900000;414.711000;371.631867;422.029204
65.000000;416.000000;376.795579;420.645900
65.100000;417.291000;384.410072;419.603382
65.200000;418.584000;423.427135;419.051005
65.300000;419.879000;422.478367;421.000857
65.400000;421.176000;434.073563;422.792503
65.500000;422.475000;383.150102;425.239703
65.600000;423.776000;471.591842;424.285915
65.700000;425.079000;409.229251;429.035476
65.800000;426.384000;455.264916;429.570046
65.900000;427.691000;434.125203;433.020624
66.000000;429.000000;416.764182;434.956343
66.100000;430.311000;400.822904;435.669167
66.200000;431.624000;382.007970;435.290688
66.300000;432.939000;385.441516;433.672305
66.400000;434.256000;456.457641;432.292417
66.500000;435.575000;466.115051;435.506596
66.600000;436.896000;422.564074;439.205270
66.700000;438.219000;472.057168;439.936901
66.800000;439.544000;412.818590;443.801299
66.900000;440.871000;440.318909;443.678766
67.000000;442.200000;445.125367;445.296102
67.100000;443.531000;452.160382;447.132439
67.200000;444.864000;430.815211;449.323877
67.300000;446.199000;483.090781;450.026756
67.400000;447.536000;433.562087;454.040030
67.500000;448.875000;481.605741;454.685202
67.600000;450.216000;492.162970;458.367455
67.700000;451.559000;477.027536;462.567620
67.800000;452.904000;425.465948;465.608326
67.900000;454.251000;462.927870;465.174984
68.000000;455.600000;503.036839;467.125863
68.100000;456.951000;466.298927;471.554360
68.200000;458.304000;508.116857;473.419032
68.300000;459.659000;496.349644;477.871089
68.400000;461.016000;475.828087;481.366588
68.500000;462.375000;444.263977;483.369660
68.600000;463.736000;418.545229;483.215635
68.700000;465.099000;441.778226;481.353163
68.800000;466.464000;512.859935;480.999526
68.900000;467.831000;479.411822;485.195429
69.000000;469.200000;450.641030;487.046617
69.100000;470.571000;449.503126;486.930255
